D prob percentile
0.01 0.0 0.0
0.02 0.0 0.0
0.03 0.0 0.0
0.04 0.0 0.0
0.05 0.0 0.0
0.060000000000000005 0.0 0.0
0.06999999999999999 0.0 0.0
0.08 0.0 0.0
0.09 0.0 0.0
0.09999999999999999 0.0 0.0
0.11 0.0 0.0
0.12 0.0 0.0
0.13 3.2119180067953706e-269 9.723944801454218e-273
0.14 1.0859428113026257e-224 4.5459621236202355e-228
0.15000000000000002 2.281753174702518e-189 1.253795614316819e-192
0.16 5.963597867797692e-161 4.1429884640361505e-164
0.17 8.317607680314629e-138 7.113899097539532e-141
0.18000000000000002 9.430829683008907e-119 9.748411464884735e-122
0.19 6.490956810836973e-103 8.005997700463282e-106
0.2 1.2262488076072178e-89 1.7884560642021468e-92
0.21000000000000002 2.0067272012615616e-78 3.437324188947699e-81
0.22 6.906998364213241e-69 1.3817187553237066e-71
0.23 9.998189147508914e-61 2.3242461717201474e-63
0.24000000000000002 1.0520445922266182e-53 2.8287851277282e-56
0.25 1.244995409850613e-47 3.854896742585242e-50
0.26 2.3543422741580614e-42 8.359182939391176e-45
0.27 9.461111143687225e-38 3.8367160640266604e-40
0.28 1.0200802150255121e-33 4.707171452693232e-36
0.29000000000000004 3.575531556862811e-30 1.8709911596261953e-32
0.3 4.777531195560922e-27 2.8258326461109823e-29
0.31 2.7790826333438956e-24 1.8525309309425892e-26
0.32 7.867285631615395e-22 5.894065495097564e-24
0.33 1.1906640310386537e-19 9.999963827525732e-22
0.34 1.0432602795544763e-17 9.799307366877998e-20
0.35000000000000003 5.663710820602556e-16 5.936720186852844e-18
0.36000000000000004 2.018923486836954e-14 2.3568219250236167e-16
0.37 4.967061721241718e-13 6.445413424776398e-15
0.38 8.804605518068588e-12 1.2677926504425082e-13
0.39 1.1671044623234833e-10 1.861803677848402e-12
0.4 1.1949053561991613e-09 2.1086020587574986e-11
0.41000000000000003 9.718762040023474e-09 1.894564700548829e-10
0.42000000000000004 6.436244061739027e-08 1.3842522706121133e-09
0.43 3.546262792959098e-07 8.404825917444063e-09
0.44 1.6567877570219262e-06 4.3224726525429794e-08
0.45 6.67398547053026e-06 1.9148305936615828e-07
0.46 2.3525944134906343e-05 7.416207359640644e-07
0.47000000000000003 7.352606260837748e-05 2.5445556979644295e-06
0.48000000000000004 0.00020612004183553735 7.825417876806854e-06
0.49 0.0005236974721468497 2.1797093805349676e-05
0.5 0.0012171183432794722 5.5504467682206976e-05
0.51 0.0026089261152940748 0.00013029000754621693
0.52 0.005196097727647456 0.0002840455142312312
0.53 0.009679639290304007 0.0005789848014360391
0.54 0.016966629090756778 0.0011101075953555784
0.55 0.02813303625442291 0.002012978046894057
0.56 0.04434284056173969 0.003469099370266207
0.5700000000000001 0.06672891466757282 0.0057071814064335365
0.5800000000000001 0.09625092098516469 0.008999025320711009
0.59 0.13355219793197934 0.013649521914787839
0.6 0.17883935946590382 0.01998120866441822
0.61 0.231804787527317 0.028314740981335396
0.62 0.2916045464610832 0.038947309644208394
0.63 0.3568946176780064 0.052131353044448124
0.64 0.4259190508761278 0.06805583685176912
0.65 0.49663650067964055 0.08683195826791694
0.66 0.5668676833090354 0.10848448953290873
0.67 0.634445688261113 0.13294924142047485
0.68 0.6973532638947476 0.16007642851513199
0.6900000000000001 0.7538352183247291 0.1896391489837639
0.7000000000000001 0.8024788991144873 0.2213458059121336
0.7100000000000001 0.8422604318724376 0.2548551084643389
0.72 0.8725583656651469 0.2897922807552487
0.73 0.8931392447658305 0.32576523586832346
0.74 0.9041213168739703 0.36237969476657356
0.75 0.9059232057455758 0.39925249853850603
0.76 0.899204143177603 0.436022638081768
0.77 0.8848015370066035 0.47235977867776296
0.78 0.863670504911699 0.5079702694459988
0.79 0.8368287440791001 0.5426007905749589
0.8 0.8053088944937715 0.5760399033721313
0.81 0.7701194923823289 0.6081178337838227
0.8200000000000001 0.7322147540249114 0.6387048465029033
0.8300000000000001 0.6924727939112149 0.6677085628715103
0.8400000000000001 0.6516814532488313 0.6950705502866618
0.85 0.6105306671763296 0.7207624716779116
0.86 0.5696101962018633 0.7447820374790299
0.87 0.5294115526485601 0.7671489545041362
0.88 0.49033303232848524 0.7879010199591305
0.89 0.4526868864330345 0.8070904668829189
0.9 0.4167078157950971 0.8247806309812364
0.91 0.38256212220182956 0.8410429786306122
0.92 0.3503569975444913 0.8559545117565132
0.93 0.3201495639069229 0.8695955469013901
0.9400000000000001 0.29195539228309975 0.8820478524442512
0.9500000000000001 0.26575632308138186 0.8933931188563599
0.9600000000000001 0.2415074882750769 0.9037117313012946
0.97 0.21914349446157447 0.9130818110756783
0.98 0.1985837702765899 0.9215784916754977
0.99 0.17973711291058295 0.9292733960900162
1.0 0.16250548923181368 0.9362342837942922
1.01 0.14678715942399018 0.9425248384481203
1.02 0.13247919704450095 0.9482045702145436
1.03 0.11947948067038353 0.9533288096590068
1.04 0.10768823020577316 0.9579487732166028
1.05 0.09700915658840312 0.9621116831080582
1.06 0.08735028792245873 0.9658609272696685
1.07 0.07862452863968908 0.9692362472996013
1.08 0.07075000163366245 0.9722739445914793
1.09 0.06365021676461526 0.9750070967253609
1.1 0.05725410292284793 0.9774657778250944
1.11 0.05149593510861322 0.9796772779864711
1.12 0.046315182812190527 0.9816663180539489
1.1300000000000001 0.04165630138820607 0.9834552569982744
1.1400000000000001 0.037468484108796954 0.9850642899470516
1.1500000000000001 0.03370538912424245 0.9865116355677878
1.1600000000000001 0.030324852616723824 0.9878137120209965
1.17 0.02728859695483298 0.9889853011081091
1.18 0.02456194059221799 0.9900397005543511
1.19 0.022113514752254464 0.9909888646054049
1.2 0.01991499055297763 0.9918435332927218
1.21 0.017940819107252873 0.9926133508474773
1.22 0.01616798624103483 0.993306973827512
1.23 0.014575782770752816 0.9939321695735859
1.24 0.013145590737041475 0.9944959056380435
1.25 0.011860685578163652 0.9950044308363246
1.26 0.010706053918508663 0.9954633485644984
