D prob percentile
0.01 0.0 0.0
0.02 0.0 0.0
0.03 0.0 0.0
0.04 0.0 0.0
0.05 0.0 0.0
0.060000000000000005 0.0 0.0
0.06999999999999999 0.0 0.0
0.08 3.1189982455505042e-279 4.1512319161001986e-286
0.09 1.846587871919104e-219 3.7735525847303016e-226
0.09999999999999999 7.519456773120342e-177 2.160107559232166e-183
0.11 1.9813591358662912e-145 7.599496204605526e-152
0.12 1.3058294854369051e-121 6.483242767351141e-128
0.13 3.907953680636913e-103 2.460111742020853e-109
0.14 1.602327817595597e-88 1.2585837559720161e-94
0.15000000000000002 9.036132369315465e-77 8.733725109018174e-83
0.16 3.4929716746885047e-67 4.1024222623914955e-73
0.17 2.911577927399305e-59 4.108108123116624e-65
0.18000000000000002 1.2066389929357262e-52 2.024278067232744e-58
0.19 4.623520985888958e-47 9.136810185745036e-53
0.2 2.6167292282747865e-42 6.040221134488457e-48
0.21000000000000002 3.132193075142025e-38 8.381160448825194e-44
0.22 1.0479311573598506e-34 3.2280527165473097e-40
0.23 1.2201038905078695e-31 4.299421054800679e-37
0.24000000000000002 5.884177755258926e-29 2.3582324018946016e-34
0.25 1.3518198907119675e-26 6.129019123313905e-32
0.26 1.6568451429005197e-24 8.456423992130203e-30
0.27 1.1883784321108282e-22 6.796905702925617e-28
0.28 5.382889130315979e-21 3.4354448667856525e-26
0.29000000000000004 1.6401806915331852e-19 1.1634706148770865e-24
0.3 3.543872944625577e-18 2.783787687960333e-23
0.31 5.67550210265546e-17 4.91990201114641e-22
0.32 6.993828327604793e-16 6.6688893786669e-21
0.33 6.8455451239916104e-15 7.158283768726839e-20
0.34 5.468428495016678e-14 6.252849738289849e-19
0.35000000000000003 3.649068920903225e-13 4.550237632568006e-18
0.36000000000000004 2.075257594396403e-12 2.814792818409798e-17
0.37 1.0234456845723957e-11 1.5062815773760575e-16
0.38 4.443283062873692e-11 7.079634801051271e-16
0.39 1.7206619214322072e-10 2.9615315944248166e-15
0.4 6.012193438548438e-10 1.1154812908036262e-14
0.41000000000000003 1.914700702506822e-09 3.8218717319961785e-14
0.42000000000000004 5.607406322475304e-09 1.2018774069640746e-13
0.43 1.5220519303669004e-08 3.4967500253513563e-13
0.44 3.8559197543114794e-08 9.478695746982568e-13
0.45 9.173723035917656e-08 2.4089755941377197e-12
0.46 2.0609978877396209e-07 5.772199327101878e-12
0.47000000000000003 4.3940335851712895e-07 1.3105185725707124e-11
0.48000000000000004 8.929334225315027e-07 2.8319164910859655e-11
0.49 1.7364583603393762e-06 5.847869905982601e-11
0.5 3.2429946851337175e-06 1.1581514770282186e-10
0.51 5.8352470634723596e-06 2.206988577997636e-10
0.52 1.0145260009129645e-05 4.058658082816145e-10
0.53 1.7088277106672003e-05 7.222248531245346e-10
0.54 2.7951076973988246e-05 1.246587017438958e-09
0.55 4.449419682519521e-05 2.0916547045452828e-09
0.56 6.906653596414448e-05 3.418583869364464e-09
0.5700000000000001 0.00010472993222247117 5.452385713891926e-09
0.5800000000000001 0.00015539050139339077 8.500367647305751e-09
0.59 0.00022593288909686222 1.2973729221022647e-08
0.6 0.0003223531546221226 1.9412331957479984e-08
0.61 0.0004518858143880466 2.851255780041369e-08
0.62 0.0006231206243164875 4.115806507120786e-08
0.63 0.0008461049614540643 5.845314896004742e-08
0.64 0.0011324281454001815 8.175832081721239e-08
0.65 0.0014952846779968344 1.1272764108448635e-07
0.66 0.0019495141274977366 1.5334727779690168e-07
0.67 0.002511616191628427 2.0597471820762188e-07
0.68 0.0031997402954747497 2.7337803610977303e-07
0.6900000000000001 0.00403364987323117 3.58774611656688e-07
0.7000000000000001 0.005034662213054305 4.6586871281865826e-07
0.7100000000000001 0.006225565385490931 5.988873762435762e-07
0.72 0.007630514310593874 7.626140678769267e-07
0.73 0.009274908437383905 9.624196575899501e-07
0.74 0.011185253809385584 1.2042903044708826e-06
0.75 0.013389012475140072 1.4948519175422303e-06
0.76 0.015914442281096116 1.8413909281709755e-06
0.77 0.018790430067642375 2.251871181614512e-06
0.78 0.02204632119091027 2.7349468270022535e-06
0.79 0.025711748128019088 3.2999711512093592e-06
0.8 0.029816460706457496 3.957001365681555e-06
0.81 0.034390160243546714 4.7167994122826366e-06
0.8200000000000001 0.03946233960257773 5.5908289049428024e-06
0.8300000000000001 0.04506213088001354 6.5912483695738285e-06
0.8400000000000001 0.05121816214322489 7.73090097718087e-06
0.85 0.057958424349033054 9.023301002266782e-06
0.86 0.06531014929661741 1.0482617257502714e-05
0.87 0.07329969920928908 1.2123653771490419e-05
0.88 0.0819524683019428 1.396182799242244e-05
0.89 0.09129279647710513 1.601314680260519e-05
0.9 0.10134389510370208 1.8294180631257572e-05
0.91 0.11212778466937114 2.0822035949728134e-05
0.92 0.12366524395894399 2.361432642663231e-05
0.93 0.1359757702976896 2.6689143010779988e-05
0.9400000000000001 0.14907755030661432 3.006502319770642e-05
0.9500000000000001 0.1629874405468628 3.376091972164838e-05
0.9600000000000001 0.17772095737912957 3.779616889940538e-05
0.97 0.19329227532997337 4.219045883205905e-05
0.98 0.20971423323797211 4.696379768593772e-05
0.99 0.22699834744673397 5.2136482143336266e-05
1.0 0.24515483131701477 5.7729066323276876e-05
1.01 0.2641926203446548 6.376233117162848e-05
1.02 0.28411940219316273 7.025725453034934e-05
1.03 0.3049416509778982 7.72349819660115e-05
1.04 0.32666466517161535 8.471679845487628e-05
1.05 0.3492926085373442 9.272410100322357e-05
1.06 0.3728285535331726 0.00010127837226801608
1.07 0.39727452667345586 0.00011040115523028663
1.08 0.42263155537158864 0.0001201140289619041
1.09 0.4488997158300046 0.00013043858551559947
1.1 0.4760781815830093 0.00014139640795831954
1.11 0.504165272336922 0.00015300904955908843
1.12 0.5331585027894763 0.00016529801413458215
1.1300000000000001 0.5630546311462271 0.00017828473754851167
1.1400000000000001 0.5938497070856227 0.00019199057035462668
1.1500000000000001 0.6255391189563105 0.00020643676156765104
